Date,Open,High,Low,Close
2023-01-01,100.344421,101.581735,98.845114,100.764052
2023-01-02,100.348387,102.029534,98.653405,102.164210
2023-01-03,101.761514,102.910876,100.083217,101.520336
2023-01-04,102.037950,103.697571,100.640654,101.564769
2023-01-05,102.448438,103.686230,99.576188,100.496714
2023-01-06,100.397119,102.130541,98.767218,100.358450
2023-01-07,100.413693,101.684237,98.933455,100.111673
2023-01-08,101.257055,102.224253,99.657732,100.728205
2023-01-09,101.105217,102.889049,99.963694,101.615149
2023-01-10,99.682904,101.461891,98.266767,101.068242
2023-01-11,99.290209,101.637451,97.977292,100.823743
2023-01-12,96.906044,98.455503,95.450052,97.244169
2023-01-13,95.880439,98.070038,94.525061,97.090204
2023-01-14,98.059283,100.950533,97.022757,99.919516
2023-01-15,98.452939,100.242338,97.481115,98.926070
2023-01-16,98.429811,100.455663,97.203288,97.771317
2023-01-17,98.820428,101.480828,97.571367,99.995224
2023-01-18,99.157921,101.185972,97.746622,100.333372
2023-01-19,99.409377,100.890111,98.288502,99.670376
2023-01-20,100.674347,102.597234,98.994412,101.910544
2023-01-21,102.169757,104.082968,100.023936,102.278425
2023-01-22,101.799950,103.359722,100.498575,101.825267
2023-01-23,101.678964,103.370420,100.196042,101.632052
2023-01-24,101.239150,103.260857,99.817585,100.902062
2023-01-25,100.938509,103.012301,98.953504,100.995682
2023-01-26,100.975451,102.491786,99.833521,101.209962
2023-01-27,101.292143,103.786440,99.993584,102.198395
2023-01-28,101.970286,104.190335,100.486189,102.954178
2023-01-29,103.623248,105.773494,102.496543,105.059541
2023-01-30,105.258521,107.278780,104.312606,105.839992
2023-01-31,105.145669,107.212614,104.083356,105.574063
2023-02-01,104.141257,106.495994,102.933374,104.853608
2023-02-02,103.984462,106.095085,102.657274,104.464216
2023-02-03,103.585072,106.351989,102.294678,105.223598
2023-02-04,104.049861,107.273923,102.777533,105.550798
2023-02-05,104.968816,108.022605,103.432105,107.586007
2023-02-06,106.757690,109.754019,105.314344,107.370318
2023-02-07,107.492284,110.486314,106.092188,107.595497
2023-02-08,108.955349,111.214792,106.879248,109.034467
2023-02-09,109.229147,110.457735,107.492524,109.232759
2023-02-10,108.431543,110.022289,107.520638,108.868949
2023-02-11,107.797522,109.423601,106.395218,108.720542
2023-02-12,108.412553,110.279418,106.775344,109.410876
2023-02-13,109.087554,110.729599,107.442063,109.827202
2023-02-14,109.383111,111.004432,107.915933,110.522040
2023-02-15,110.697497,112.231918,109.375847,111.923551
2023-02-16,111.334908,113.154039,110.199546,112.064224
2023-02-17,111.630025,113.073348,109.242089,111.530143
2023-02-18,110.863359,112.428737,109.310294,111.139497
2023-02-19,110.695337,112.043519,109.359946,110.752768
2023-02-20,110.746664,112.043457,109.271658,110.893639
2023-02-21,111.194388,112.921082,109.822587,111.427672
2023-02-22,111.785214,113.499262,110.693086,112.031401
2023-02-23,112.596115,114.195007,111.439368,112.618441
2023-02-24,113.225585,115.025482,111.765343,113.441376
2023-02-25,113.753571,115.727837,112.347282,113.727135
2023-02-26,114.230881,116.137749,112.565452,114.173691
2023-02-27,114.794620,116.692207,112.631745,114.372828
2023-02-28,115.743645,117.885277,113.421211,114.814263
2023-03-01,116.152832,118.687500,114.865845,115.353790
2023-03-02,116.761841,119.246605,115.424263,116.260956
2023-03-03,117.193848,119.720932,116.033875,116.810226
2023-03-04,117.438393,120.028717,116.563553,117.040863
2023-03-05,117.967834,120.628616,116.910614,117.944244
2023-03-06,118.882965,121.537857,117.796043,118.827347
2023-03-07,119.154991,121.922791,118.068649,119.716309
2023-03-08,118.592781,121.095100,117.709595,119.132431
2023-03-09,118.399239,120.740517,116.946823,118.385757
2023-03-10,117.812637,120.077522,116.624222,117.870674
2023-03-11,116.904991,119.402115,115.646927,117.032120
2023-03-12,116.745621,119.200050,115.402870,116.897377
2023-03-13,116.406998,118.879891,115.165130,116.600212
2023-03-14,116.424385,118.886902,115.224503,116.504097
2023-03-15,116.809875,119.140381,115.622742,117.086273
2023-03-16,117.055290,119.199890,115.406456,117.728859
2023-03-17,117.352539,119.402710,115.735909,117.954613
2023-03-18,117.693237,119.805107,116.107826,118.374496
2023-03-19,118.083328,120.318413,116.673073,118.860191
2023-03-20,118.615341,120.871086,117.374748,119.467247
2023-03-21,119.055649,121.167061,117.817429,119.608879
2023-03-22,119.427696,121.521011,118.239365,119.932945
2023-03-23,119.887230,121.989693,118.816620,120.350220
2023-03-24,120.411102,122.610557,119.390907,120.925659
2023-03-25,120.872398,122.945900,119.784286,121.409340
2023-03-26,121.319527,123.375839,120.103462,121.679214
2023-03-27,121.531609,123.722481,121.026535,121.833672
2023-03-28,121.845543,124.302223,121.670639,122.193649
2023-03-29,122.361458,124.802879,121.985657,122.850738
2023-03-30,122.852943,125.232887,122.216576,123.416565
2023-03-31,123.343201,125.724846,122.517372,123.765144
2023-04-01,123.907082,126.225090,122.760818,124.199677
2023-04-02,124.541641,126.919502,123.412102,124.924359
2023-04-03,125.038040,127.689072,124.224815,125.337562
2023-04-04,125.571350,128.234802,124.651146,125.679390
2023-04-05,125.891167,128.637260,124.883011,125.936749
2023-04-06,126.654991,129.413071,125.466247,126.601257
2023-04-07,127.108200,130.089630,126.034065,127.162705
2023-04-08,127.553070,130.568283,126.437347,127.654274
2023-04-09,128.135422,131.164703,126.974186,128.160347
2023-04-10,128.658694,131.592758,127.266358,128.670310
